index,bitmask,num_features,mean_accuracy,mean_time
214,000000011010110,5,0.8633609749,0.2154057072
215,000000011010111,6,0.8641581666,0.2608835469
216,000000011011000,4,0.8470982276,0.2856454835
217,000000011011001,5,0.8472576644,0.2179306112
218,000000011011010,5,0.8582589366,0.2021966155
219,000000011011011,6,0.8695790842,0.2638407652
220,000000011011100,5,0.8482142948,0.1330685855
221,000000011011101,6,0.8544324078,0.195457032
222,000000011011110,6,0.8780293334,0.3187594288
223,000000011011111,7,0.8619260248,0.3441502172
224,000000011100000,3,0.8593750056,0.1411147874
225,000000011100001,4,0.8432716951,0.188668367
226,000000011100010,4,0.8614477087,0.2200325038
227,000000011100011,5,0.8657525536,0.2422134574
228,000000011100100,4,0.8510841914,0.1287686396
229,000000011100101,5,0.8552296013,0.1661567292
230,000000011100110,5,0.865433678,0.3079846026
231,000000011100111,6,0.8673469424,0.2481656554
232,000000011101000,4,0.8555484787,0.1298043593
233,000000011101001,5,0.8509247527,0.1669221504
234,000000011101010,5,0.8683035746,0.163796182
235,000000011101011,6,0.8730867337,0.2381130022
236,000000011101100,5,0.8486926127,0.110478325
237,000000011101101,6,0.8490114883,0.277314309
238,000000011101110,6,0.8660714328,0.1844809812
239,000000011101111,7,0.868622452,0.2919445152
240,000000011110000,4,0.8549107239,0.1300757288
241,000000011110001,5,0.8470982201,0.1992430217
242,000000011110010,5,0.8604910765,0.1913485401
243,000000011110011,6,0.8632015362,0.2180659124
244,000000011110100,5,0.8529974576,0.2388008244
245,000000011110101,6,0.8541135285,0.1501188432
246,000000011110110,6,0.8719706647,0.1575467447
247,000000011110111,7,0.8619260266,0.3241844503
248,000000011111000,5,0.8557079136,0.1184425231
249,000000011111001,6,0.8472576644,0.188642269
250,000000011111010,6,0.8724489808,0.1818462003
251,000000011111011,7,0.8662308697,0.437638551
252,000000011111100,6,0.850286996,0.1385032346
253,000000011111101,7,0.8383290935,0.2334868151
254,000000011111110,7,0.8687818907,0.2365499861
255,000000011111111,8,0.8705357164,0.3446016824
256,000000100000000,1,0.5980548561,0.04389673762
257,000000100000001,2,0.6900510229,0.1133552173
258,000000100000010,2,0.6360012759,0.1494657248
259,000000100000011,3,0.6804846898,0.4575097384
260,000000100000100,2,0.6138392873,0.01700672382
261,000000100000101,3,0.688775504,0.1808227985
262,000000100000110,3,0.6339285672,0.1965969317
263,000000100000111,4,0.689572705,0.2743231272
264,000000100001000,2,0.5816326588,0.01548716615
265,000000100001001,3,0.6772959251,0.1950753224
266,000000100001010,3,0.6044324003,0.1861355705
267,000000100001011,4,0.6682079006,0.4127659746
268,000000100001100,3,0.5841836799,0.02836481354
269,000000100001101,4,0.6878188848,0.1626589717
270,000000100001110,4,0.6214923486,0.1920854419
271,000000100001111,5,0.6867028009,0.2348463242
272,000000100010000,2,0.752072705,0.06561966788
273,000000100010001,3,0.7645089217,0.2230540141
274,000000100010010,3,0.7233737335,0.2366479933
275,000000100010011,4,0.7681760136,0.3479010891
276,000000100010100,3,0.743781887,0.1950331996
277,000000100010101,4,0.7686543278,0.1829744652
278,000000100010110,4,0.7299107201,0.1987640359
279,000000100010111,5,0.7678571399,0.2591417874
280,000000100011000,3,0.731186226,0.07541976986
281,000000100011001,4,0.7715242282,0.2218505479
282,000000100011010,4,0.7251275592,0.1662499656
283,000000100011011,5,0.7617984675,0.3055013274
