run_index,seed,algorithm,case,bitstring,n_features,accuracy,second_objective,scalar_fitness
31,1000031,nsga2,triangle,0000000001010101,4,4,4,3.975
31,1000031,pso,triangle,0001001011000000,4,4,4,3.975
31,1000031,sga,triangle,0100000001011000,4,4,0.025,3.975
32,1000032,nsga2,breast,111001111,7,0.970122,0.221558,0.892344
32,1000032,pso,breast,010001000,2,0.95564,0.0887217,0.933418
32,1000032,sga,breast,010001000,2,0.95564,0.0222222,0.933418
32,1000032,nsga2,credit,001110001110111,9,0.891263,0.335393,0.831263
32,1000032,pso,credit,000000101000000,2,0.871173,0.0524994,0.85784
32,1000032,sga,credit,000000101000000,2,0.871173,0.0133333,0.85784
32,1000032,nsga2,letter,0000011111111111,11,0.956333,0.386006,0.887583
32,1000032,pso,letter,0000000111111111,9,0.947344,0.276575,0.891094
32,1000032,sga,letter,0000000111111111,9,0.947344,0.05625,0.891094
32,1000032,nsga2,triangle,0000101000010100,4,4,4,3.975
32,1000032,pso,triangle,0000100000111000,4,4,4,3.975
32,1000032,sga,triangle,0001000001001010,4,4,0.025,3.975
33,1000033,nsga2,breast,111001111,7,0.970122,0.221558,0.892344
33,1000033,pso,breast,010001000,2,0.95564,0.0887217,0.933418
33,1000033,sga,breast,010001000,2,0.95564,0.0222222,0.933418
33,1000033,nsga2,credit,001110001110111,9,0.891263,0.335393,0.831263
33,1000033,pso,credit,000000101000000,2,0.871173,0.0524994,0.85784
33,1000033,sga,credit,000000101000000,2,0.871173,0.0133333,0.85784
33,1000033,nsga2,letter,0000011111111111,11,0.956333,0.386006,0.887583
33,1000033,pso,letter,0000000111111111,9,0.947344,0.276575,0.891094
33,1000033,sga,letter,0000000111111111,9,0.947344,0.05625,0.891094
33,1000033,nsga2,triangle,1001000010100000,4,4,4,3.975
33,1000033,pso,triangle,1000100000100001,4,4,4,3.975
33,1000033,sga,triangle,1001001000001000,4,4,0.025,3.975
34,1000034,nsga2,breast,111001111,7,0.970122,0.221558,0.892344
34,1000034,pso,breast,010001000,2,0.95564,0.0887217,0.933418
34,1000034,sga,breast,010001000,2,0.95564,0.0222222,0.933418
34,1000034,nsga2,credit,001110001110111,9,0.891263,0.335393,0.831263
34,1000034,pso,credit,000000101000000,2,0.871173,0.0524994,0.85784
34,1000034,sga,credit,000000101000000,2,0.871173,0.0133333,0.85784
34,1000034,nsga2,letter,0000011111111111,11,0.956333,0.386006,0.887583
34,1000034,pso,letter,0000000111111111,9,0.947344,0.276575,0.891094
34,1000034,sga,letter,0000000111111111,9,0.947344,0.05625,0.891094
34,1000034,nsga2,triangle,0000010011100000,4,4,4,3.975
34,1000034,pso,triangle,0001011000100000,4,4,4,3.975
34,1000034,sga,triangle,0010000001001010,4,4,0.025,3.975
35,1000035,nsga2,breast,111001111,7,0.970122,0.221558,0.892344
35,1000035,pso,breast,010001000,2,0.95564,0.0887217,0.933418
35,1000035,sga,breast,010001000,2,0.95564,0.0222222,0.933418
35,1000035,nsga2,credit,001110001110111,9,0.891263,0.335393,0.831263
35,1000035,pso,credit,000000101000000,2,0.871173,0.0524994,0.85784
35,1000035,sga,credit,000000101000000,2,0.871173,0.0133333,0.85784
35,1000035,nsga2,letter,0000011111111111,11,0.956333,0.386006,0.887583
35,1000035,pso,letter,0000000111111111,9,0.947344,0.276575,0.891094
35,1000035,sga,letter,0000000111111111,9,0.947344,0.05625,0.891094
35,1000035,nsga2,triangle,0010000100010001,4,4,4,3.975
35,1000035,pso,triangle,0000001001100100,4,4,4,3.975
35,1000035,sga,triangle,0100000100000110,4,4,0.025,3.975
36,1000036,nsga2,breast,111001111,7,0.970122,0.221558,0.892344
36,1000036,pso,breast,010001000,2,0.95564,0.0887217,0.933418
36,1000036,sga,breast,010001000,2,0.95564,0.0222222,0.933418
36,1000036,nsga2,credit,001110001110111,9,0.891263,0.335393,0.831263
36,1000036,pso,credit,000000101000000,2,0.871173,0.0524994,0.85784
36,1000036,sga,credit,000000101000000,2,0.871173,0.0133333,0.85784
36,1000036,nsga2,letter,0000011111111111,11,0.956333,0.386006,0.887583
36,1000036,pso,letter,0000000111111111,9,0.947344,0.276575,0.891094
36,1000036,sga,letter,0000000111111111,9,0.947344,0.05625,0.891094
36,1000036,nsga2,triangle,0000010001001010,4,4,4,3.975
36,1000036,pso,triangle,0000011100100000,4,4,4,3.975
36,1000036,sga,triangle,1000000000010101,4,4,0.025,3.975
37,1000037,nsga2,breast,111001111,7,0.970122,0.221558,0.892344
37,1000037,pso,breast,010001000,2,0.95564,0.0887217,0.933418
37,1000037,sga,breast,010001000,2,0.95564,0.0222222,0.933418
37,1000037,nsga2,credit,001110001110111,9,0.891263,0.335393,0.831263
37,1000037,pso,credit,000000101000000,2,0.871173,0.0524994,0.85784
37,1000037,sga,credit,000000101000000,2,0.871173,0.0133333,0.85784
37,1000037,nsga2,letter,0000011111111111,11,0.956333,0.386006,0.887583
37,1000037,pso,letter,0000000111111111,9,0.947344,0.276575,0.891094
37,1000037,sga,letter,0000000111111111,9,0.947344,0.05625,0.891094
37,1000037,nsga2,triangle,0000001110010000,4,4,4,3.975
37,1000037,pso,triangle,0000000110010010,4,4,4,3.975
37,1000037,sga,triangle,1001011000000000,4,4,0.025,3.975
38,1000038,nsga2,breast,111001111,7,0.970122,0.221558,0.892344
38,1000038,pso,breast,010001000,2,0.95564,0.0887217,0.933418
38,1000038,sga,breast,010001000,2,0.95564,0.0222222,0.933418
38,1000038,nsga2,credit,001110001110111,9,0.891263,0.335393,0.831263
38,1000038,pso,credit,000000101000000,2,0.871173,0.0524994,0.85784
38,1000038,sga,credit,000000101000000,2,0.871173,0.0133333,0.85784
38,1000038,nsga2,letter,0000011111111111,11,0.956333,0.386006,0.887583
38,1000038,pso,letter,0000000111111111,9,0.947344,0.276575,0.891094
38,1000038,sga,letter,0000000111111111,9,0.947344,0.05625,0.891094
38,1000038,nsga2,triangle,0000011000101000,4,4,4,3.975
38,1000038,pso,triangle,0100100000010010,4,4,4,3.975
38,1000038,sga,triangle,0000001100010100,4,4,0.025,3.975
39,1000039,nsga2,breast,111001111,7,0.970122,0.221558,0.892344
39,1000039,pso,breast,010001000,2,0.95564,0.0887217,0.933418
39,1000039,sga,breast,010001000,2,0.95564,0.0222222,0.933418
39,1000039,nsga2,credit,001110001110111,9,0.891263,0.335393,0.831263
39,1000039,pso,credit,000000101000000,2,0.871173,0.0524994,0.85784
39,1000039,sga,credit,000000101000000,2,0.871173,0.0133333,0.85784
39,1000039,nsga2,letter,0000011111111111,11,0.956333,0.386006,0.887583
39,1000039,pso,letter,0000000111111111,9,0.947344,0.276575,0.891094
39,1000039,sga,letter,0000000111111111,9,0.947344,0.05625,0.891094
39,1000039,nsga2,triangle,1000010000001001,4,4,4,3.975
39,1000039,pso,triangle,1000001010010000,4,4,4,3.975
39,1000039,sga,triangle,1000100000000101,4,4,0.025,3.975
40,1000040,nsga2,breast,111001111,7,0.970122,0.221558,0.892344
40,1000040,pso,breast,010001000,2,0.95564,0.0887217,0.933418
40,1000040,sga,breast,010001000,2,0.95564,0.0222222,0.933418
40,1000040,nsga2,credit,001110001110111,9,0.891263,0.335393,0.831263
40,1000040,pso,credit,000000101000000,2,0.871173,0.0524994,0.85784
40,1000040,sga,credit,000000101000000,2,0.871173,0.0133333,0.85784
40,1000040,nsga2,letter,0000011111111111,11,0.956333,0.386006,0.887583
40,1000040,pso,letter,0000000111111111,9,0.947344,0.276575,0.891094
40,1000040,sga,letter,0000000111111111,9,0.947344,0.05625,0.891094
40,1000040,nsga2,triangle,0000011000001010,4,4,4,3.975
40,1000040,pso,triangle,0001010000000101,4,4,4,3.975
40,1000040,sga,triangle,0101000001000010,4,4,0.025,3.975
41,1000041,nsga2,breast,111001111,7,0.970122,0.221558,0.892344
41,1000041,pso,breast,010001000,2,0.95564,0.0887217,0.933418
41,1000041,sga,breast,100001010,3,0.966311,0.0333333,0.932978
41,1000041,nsga2,credit,001110001110111,9,0.891263,0.335393,0.831263
41,1000041,pso,credit,000000101000000,2,0.871173,0.0524994,0.85784
41,1000041,sga,credit,000000101000000,2,0.871173,0.0133333,0.85784
41,1000041,nsga2,letter,0000011111111111,11,0.956333,0.386006,0.887583
41,1000041,pso,letter,0000000111111111,9,0.947344,0.276575,0.891094
41,1000041,sga,letter,0000000111111111,9,0.947344,0.05625,0.891094
41,1000041,nsga2,triangle,0100000100000110,4,4,4,3.975
41,1000041,pso,triangle,0000000000010111,4,4,4,3.975
41,1000041,sga,triangle,0010010010100000,4,4,0.025,3.975
42,1000042,nsga2,breast,111001111,7,0.970122,0.221558,0.892344
42,1000042,pso,breast,010001000,2,0.95564,0.0887217,0.933418
42,1000042,sga,breast,010001000,2,0.95564,0.0222222,0.933418
42,1000042,nsga2,credit,001110001110111,9,0.891263,0.335393,0.831263
42,1000042,pso,credit,000000101000000,2,0.871173,0.0524994,0.85784
42,1000042,sga,credit,000000101000000,2,0.871173,0.0133333,0.85784
42,1000042,nsga2,letter,0000011111111111,11,0.956333,0.386006,0.887583
42,1000042,pso,letter,0000000111111111,9,0.947344,0.276575,0.891094
42,1000042,sga,letter,0000000111111111,9,0.947344,0.05625,0.891094
42,1000042,nsga2,triangle,0101100000100000,4,4,4,3.975
42,1000042,pso,triangle,0101000000001001,4,4,4,3.975
42,1000042,sga,triangle,1000000100001001,4,4,0.025,3.975
43,1000043,nsga2,breast,111001111,7,0.970122,0.221558,0.892344
