generation,num_fronts,pareto_size,best_accuracy,min_time,mean_accuracy,mean_time,hypervolume,mutation_rate,diversity
56,1,1,0.9449218735,0.01090493918,0.7797722573,0.04159284352,0.8910937518,0.02714646465,0.99609375
57,1,1,0.9527499955,0.01122848922,0.7935934044,0.04811033178,0.8910937518,0.02651515152,0.9921875
58,1,1,0.9435885437,0.01023428692,0.7822177328,0.03983237934,0.8910937518,0.02588383838,0.99609375
59,1,1,0.9518802017,0.01075723974,0.7912648011,0.0474115922,0.8910937518,0.02525252525,0.990234375
60,1,1,0.9529947862,0.01111134415,0.7895753277,0.04272940065,0.8910937518,0.02462121212,0.998046875
61,1,1,0.9518802017,0.01114325307,0.7913600258,0.0489459516,0.8910937518,0.02398989899,0.9921875
62,1,1,0.9476197902,0.01103606698,0.7907074991,0.04083417717,0.8910937518,0.02335858586,0.994140625
63,1,1,0.9518802017,0.01083129592,0.7946297606,0.0458145912,0.8910937518,0.02272727273,0.990234375
64,1,1,0.9524531197,0.01038877256,0.7938976641,0.04502888207,0.8910937518,0.0220959596,1
65,1,1,0.9473437518,0.01107148253,0.7912628787,0.04300872569,0.8910937518,0.02146464646,0.994140625
66,1,1,0.9524531197,0.009529132949,0.7988813273,0.05087251321,0.8910937518,0.02083333333,0.994140625
67,1,1,0.9485520832,0.01089635913,0.7882790122,0.04148941397,0.8910937518,0.0202020202,0.994140625
68,1,1,0.9524531197,0.0110077323,0.8058905944,0.04494282591,0.8910937518,0.01957070707,0.99609375
69,1,1,0.9480052162,0.01073655798,0.7955935771,0.04600921742,0.8910937518,0.01893939394,0.994140625
70,1,1,0.9477552101,0.01111351774,0.8159308572,0.04841076664,0.8910937518,0.01830808081,0.994140625
71,1,1,0.9524531197,0.01109865986,0.7965423279,0.043045579,0.8910937518,0.01767676768,0.994140625
72,1,1,0.9518802017,0.01176227338,0.8177111612,0.04585220289,0.8910937518,0.01704545455,0.990234375
73,1,1,0.9518802017,0.01034872045,0.8078914286,0.04825961529,0.8910937518,0.01641414141,0.9921875
74,1,1,0.9491562527,0.01103840483,0.8222326558,0.04935120222,0.8910937518,0.01578282828,0.994140625
75,1,1,0.9518802017,0.01166554925,0.8142216796,0.04931807792,0.8910937518,0.01515151515,0.984375
76,1,1,0.9477552157,0.01115135101,0.8293191019,0.05302583843,0.8910937518,0.01452020202,0.994140625
77,1,1,0.9527499955,0.0098441843,0.8173018394,0.04940554638,0.8910937518,0.01388888889,0.990234375
78,1,1,0.9524531197,0.01064420355,0.8327332761,0.05210166642,0.8910937518,0.01325757576,0.978515625
79,1,1,0.9563333355,0.01125357466,0.8241679585,0.05027887197,0.8910937518,0.01262626263,0.9921875
80,1,1,0.9524531197,0.01073600858,0.8386228127,0.04963633255,0.8910937518,0.01199494949,0.982421875
81,1,1,0.9563333355,0.01118429354,0.8369375102,0.05391445029,0.8910937518,0.01136363636,0.98828125
82,1,1,0.9505833313,0.01108017858,0.8496820678,0.05352837134,0.8910937518,0.01073232323,0.97265625
83,1,1,0.9563333355,0.01087906101,0.8492029827,0.05269725718,0.8910937518,0.0101010101,0.982421875
84,1,1,0.9524531197,0.01139284164,0.8572819825,0.05477743917,0.8910937518,0.00946969697,0.96484375
85,1,1,0.9563333355,0.01098025162,0.8551477152,0.05859402256,0.8910937518,0.008838383838,0.97265625
86,1,1,0.9563333355,0.01141302555,0.861559143,0.06190738479,0.8910937518,0.008207070707,0.94921875
87,1,1,0.9529947862,0.01130959342,0.8570933534,0.06282407849,0.8910937518,0.007575757576,0.958984375
88,1,1,0.9563333355,0.01217281801,0.8767806802,0.06977907917,0.8910937518,0.006944444444,0.93359375
89,1,1,0.9563333355,0.01208380892,0.8685770874,0.06686485703,0.8910937518,0.006313131313,0.93359375
90,1,1,0.9563333355,0.0113010981,0.8781230875,0.0732803375,0.8910937518,0.005681818182,0.921875
91,1,1,0.9524531197,0.01162771319,0.8805457051,0.07725792076,0.8910937518,0.005050505051,0.884765625
92,1,1,0.9563333355,0.01200282681,0.8834118857,0.0792954663,0.8910937518,0.004419191919,0.892578125
93,1,1,0.9524531197,0.01158341969,0.8894149065,0.09004788213,0.8910937518,0.003787878788,0.833984375
94,1,1,0.9524531197,0.01144230276,0.8903747965,0.0869468798,0.8910937518,0.003156565657,0.822265625
95,1,1,0.9563333355,0.01259469875,0.8990244752,0.1008146055,0.8910937518,0.002525252525,0.765625
96,1,1,0.9529947862,0.01146321537,0.8945935158,0.0908273639,0.8910937518,0.001893939394,0.775390625
97,1,1,0.9563333355,0.01236396894,0.9054618427,0.1163283576,0.8910937518,0.001262626263,0.689453125
98,1,1,0.9529270865,0.01119006018,0.9080587868,0.1043658121,0.8910937518,0.0006313131313,0.6640625
99,1,1,0.9529947862,0.01147701006,0.9100241392,0.11687386,0.8910937518,0,0.63671875
