index,bitmask,num_features,accuracy,time,rank,crowding_distance
37428,1001001000110100,6,2,6,277,0
47106,1011100000000010,5,3,5,131,0
6400,0001100100000000,3,3,3,89,0
47170,1011100001000010,6,2,6,310,0
42200,1010010011011000,7,1,7,418,0
21126,0101001010000110,6,2,6,305,0
63492,1111100000000100,6,2,6,304,0
14848,0011101000000000,4,4,4,0,0
51264,1100100001000000,4,4,4,0,0
8499,0010000100110011,6,2,6,298,0
55301,1101100000000101,6,2,6,297,0
6272,0001100010000000,3,3,3,82,0
32098,0111110101100010,9,1,9,475,0
51810,1100101001100010,7,1,7,405,0
4869,0001001100000101,5,3,5,205,0
39217,1001100100110001,7,1,7,402,0
10528,0010100100100000,4,4,4,0,0
47264,1011100010100000,6,2,6,282,0
28800,0111000010000000,4,4,4,0,0
10304,0010100001000000,3,3,3,130,0
40960,1010000000000000,2,2,2,275,0
47113,1011100000001001,6,2,6,281,0
40072,1001110010001000,6,2,6,375,0
12352,0011000001000000,3,3,3,81,0
15236,0011101110000100,7,1,7,396,0
2048,0000100000000000,1,1,1,387,0
34904,1000100001011000,5,3,5,135,0
14848,0011101000000000,4,4,4,0,0
10504,0010100100001000,4,4,4,0,0
37888,1001010000000000,3,3,3,84,0
47104,1011100000000000,4,4,4,0,0
27651,0110110000000011,6,2,6,286,0
47120,1011100000010000,5,3,5,196,0
15488,0011110010000000,5,3,5,197,0
35464,1000101010001000,5,3,5,210,0
24578,0110000000000010,3,3,3,88,0
40001,1001110001000001,6,2,6,291,0
62469,1111010000000101,7,1,7,408,0
36996,1001000010000100,4,4,4,0,0
41734,1010001100000110,6,2,6,294,0
61569,1111000010000001,6,2,6,295,0
43044,1010100000100100,5,3,5,243,0
14464,0011100010000000,4,4,4,0,0
30724,0111100000000100,5,3,5,252,0
45204,1011000010010100,6,2,6,299,0
52224,1100110000000000,4,4,4,0,0
41480,1010001000001000,4,4,4,0,0
45213,1011000010011101,8,0,8,496,0
15360,0011110000000000,4,4,4,0,0
6148,0001100000000100,3,3,3,92,0
47232,1011100010000000,5,3,5,260,0
11272,0010110000001000,4,4,4,0,0
47532,1011100110101100,9,1,9,483,0
20608,0101000010000000,3,3,3,93,0
39497,1001101001001001,7,1,7,437,0
47168,1011100001000000,5,3,5,258,0
45056,1011000000000000,3,3,3,96,0
11779,0010111000000011,6,2,6,312,0
39953,1001110000010001,6,2,6,313,0
15472,0011110001110000,7,1,7,457,0
63632,1111100010010000,7,1,7,459,0
9793,0010011001000001,5,3,5,254,0
43040,1010100000100000,4,4,4,0,0
6402,0001100100000010,4,4,4,0,0
14344,0011100000001000,4,4,4,0,0
48202,1011110001001010,8,0,8,487,0
45443,1011000110000011,7,1,7,395,0
49200,1100000000110000,4,4,4,0,0
27664,0110110000010000,5,3,5,134,0
37035,1001000010101011,7,1,7,468,0
43088,1010100001010000,5,3,5,249,0
35395,1000101001000011,6,2,6,326,0
10688,0010100111000000,5,3,5,247,0
57609,1110000100001001,6,2,6,328,0
44608,1010111001000000,6,2,6,329,0
40961,1010000000000001,3,3,3,97,0
45131,1011000001001011,7,1,7,462,0
14410,0011100001001010,6,2,6,332,0
35706,1000101101111010,9,1,9,474,0
45249,1011000011000001,6,2,6,334,0
30984,0111100100001000,6,2,6,335,0
12357,0011000001000101,5,3,5,245,0
10241,0010100000000001,3,3,3,101,0
48160,1011110000100000,6,2,6,338,0
17474,0100010001000010,4,4,4,0,0
59392,1110100000000000,4,4,4,0,0
12353,0011000001000001,4,4,4,0,0
2176,0000100010000000,2,2,2,266,0
41472,1010001000000000,3,3,3,103,0
40074,1001110010001010,7,1,7,445,0
47402,1011100100101010,8,0,8,494,0
63505,1111100000010001,7,1,7,442,0
39073,1001100010100001,6,2,6,347,0
63749,1111100100000101,8,0,8,491,0
61504,1111000001000000,5,3,5,242,0
13068,0011001100001100,6,2,6,350,0
60707,1110110100100011,9,1,9,484,0
38958,1001100000101110,7,1,7,436,0
26951,0110100101000111,8,0,8,511,0
11584,0010110101000000,5,3,5,241,0
47172,1011100001000100,6,2,6,355,0
15376,0011110000010000,5,3,5,240,0
57377,1110000000100001,5,3,5,238,0
60576,1110110010100000,7,1,7,420,0
39200,1001100100100000,5,3,5,237,0
34904,1000100001011000,5,3,5,236,0
47140,1011100000100100,6,2,6,361,0
14348,0011100000001100,5,3,5,235,0
8248,0010000000111000,4,4,4,0,0
53698,1101000111000010,7,1,7,412,0
63492,1111100000000100,6,2,6,365,0
43012,1010100000000100,4,4,4,0,0
47361,1011100100000001,6,2,6,367,0
45076,1011000000010100,5,3,5,233,0
14336,0011100000000000,3,3,3,104,0
36871,1001000000000111,5,3,5,228,0
53268,1101000000010100,5,3,5,224,0
31784,0111110000101000,7,1,7,403,0
15376,0011110000010000,5,3,5,223,0
41984,1010010000000000,3,3,3,105,0
60564,1110110010010100,8,0,8,510,0
15428,0011110001000100,6,2,6,376,0
39442,1001101000010010,6,2,6,377,0
41328,1010000101110000,6,2,6,378,0
47121,1011100000010001,6,2,6,379,0
13954,0011011010000010,6,2,6,380,0
9486,0010010100001110,6,2,6,381,0
16389,0100000000000101,3,3,3,106,0
43136,1010100010000000,4,4,4,0,0
12561,0011000100010001,5,3,5,213,0
55312,1101100000010000,5,3,5,211,0
44169,1010110010001001,7,1,7,415,0
9728,0010011000000000,3,3,3,107,0
63776,1111100100100000,7,1,7,393,0
48130,1011110000000010,6,2,6,344,0
60428,1110110000001100,7,1,7,422,0
14540,0011100011001100,7,1,7,461,0
47904,1011101100100000,7,1,7,449,0
21096,0101001001101000,6,2,6,382,0
45888,1011001101000000,6,2,6,279,0
45256,1011000011001000,6,2,6,278,0
40962,1010000000000010,3,3,3,108,0
45824,1011001100000000,5,3,5,209,0
6672,0001101000010000,4,4,4,0,0
38464,1001011001000000,5,3,5,207,0
47168,1011100001000000,5,3,5,206,0
1664,0000011010000000,3,3,3,109,0
21008,0101001000010000,4,4,4,0,0
22577,0101100000110001,6,2,6,372,0
10241,0010100000000001,3,3,3,110,0
47683,1011101001000011,8,0,8,506,0
7302,0001110010000110,6,2,6,371,0
47616,1011101000000000,5,3,5,202,0
6338,0001100011000010,5,3,5,200,0
2632,0000101001001000,4,4,4,0,0
48293,1011110010100101,9,1,9,478,0
43292,1010100100011100,7,1,7,411,0
38994,1001100001010010,6,2,6,364,0
61737,1111000100101001,8,0,8,500,0
39576,1001101010011000,7,1,7,414,0
47120,1011100000010000,5,3,5,194,0
47776,1011101010100000,7,1,7,416,0
32833,1000000001000001,3,3,3,111,0
43020,1010100000001100,5,3,5,193,0
57728,1110000110000000,5,3,5,191,0
6339,0001100011000011,6,2,6,358,0
48224,1011110001100000,7,1,7,421,0
46592,1011011000000000,5,3,5,190,0
41504,1010001000100000,4,4,4,0,0
47632,1011101000010000,6,2,6,357,0
46596,1011011000000100,6,2,6,356,0
14660,0011100101000100,6,2,6,354,0
38151,1001010100000111,7,1,7,427,0
48290,1011110010100010,8,0,8,486,0
45312,1011000100000000,4,4,4,0,0
41282,1010000101000010,5,3,5,189,0
39991,1001110000110111,9,1,9,471,0
49714,1100001000110010,6,2,6,353,0
40985,1010000000011001,5,3,5,186,0
6176,0001100000100000,3,3,3,112,0
12420,0011000010000100,4,4,4,0,0
46848,1011011100000000,6,2,6,352,0
14608,0011100100010000,5,3,5,184,0
51464,1100100100001000,5,3,5,182,0
61441,1111000000000001,5,3,5,181,0
14370,0011100000100010,5,3,5,179,0
51226,1100100000011010,6,2,6,348,0
47106,1011100000000010,5,3,5,177,0
45122,1011000001000010,5,3,5,176,0
47616,1011101000000000,5,3,5,175,0
49280,1100000010000000,3,3,3,115,0
44578,1010111000100010,7,1,7,446,0
10754,0010101000000010,4,4,4,0,0
44033,1010110000000001,5,3,5,174,0
34816,1000100000000000,2,2,2,272,0
41996,1010010000001100,5,3,5,172,0
39424,1001101000000000,4,4,4,0,0
47146,1011100000101010,7,1,7,452,0
23554,0101110000000010,5,3,5,169,0
32848,1000000001010000,3,3,3,116,0
41218,1010000100000010,4,4,4,0,0
47173,1011100001000101,7,1,7,456,0
14809,0011100111011001,9,1,9,477,0
39752,1001101101001000,7,1,7,458,0
3652,0000111001000100,5,3,5,166,0
37921,1001010000100001,5,3,5,165,0
32,0000000000100000,1,1,1,391,0
14352,0011100000010000,4,4,4,0,0
36994,1001000010000010,4,4,4,0,0
47304,1011100011001000,7,1,7,464,0
29015,0111000101010111,9,1,9,473,0
35202,1000100110000010,5,3,5,161,0
41048,1010000001011000,5,3,5,159,0
26692,0110100001000100,5,3,5,157,0
14400,0011100001000000,4,4,4,0,0
36873,1001000000001001,4,4,4,0,0
14466,0011100010000010,5,3,5,156,0
10568,0010100101001000,5,3,5,155,0
49152,1100000000000000,2,2,2,273,0
39296,1001100110000000,5,3,5,153,0
34104,1000010100111000,6,2,6,318,0
30786,0111100001000010,6,2,6,315,0
57414,1110000001000110,6,2,6,314,0
14345,0011100000001001,5,3,5,152,0
37136,1001000100010000,4,4,4,0,0
47431,1011100101000111,9,1,9,480,0
43008,1010100000000000,3,3,3,119,0
61440,1111000000000000,4,4,4,0,0
21795,0101010100100011,7,1,7,439,0
43712,1010101011000000,6,2,6,309,0
50305,1100010010000001,5,3,5,147,0
45209,1011000010011001,7,1,7,432,0
40640,1001111011000000,7,1,7,431,0
45056,1011000000000000,3,3,3,122,0
10370,0010100010000010,4,4,4,0,0
2260,0000100011010100,5,3,5,143,0
14422,0011100001010110,7,1,7,428,0
6144,0001100000000000,2,2,2,274,0
45096,1011000000101000,5,3,5,139,0
47248,1011100010010000,6,2,6,306,0
44361,1010110101001001,8,0,8,495,0
57369,1110000000011001,6,2,6,302,0
37968,1001010001010000,5,3,5,138,0
47744,1011101010000000,6,2,6,300,0
56384,1101110001000000,6,2,6,296,0
240,0000000011110000,4,4,4,0,0
46657,1011011001000001,7,1,7,410,0
1033,0000010000001001,3,3,3,126,0
45634,1011001001000010,6,2,6,292,0
42272,1010010100100000,5,3,5,137,0
18432,0100100000000000,2,2,2,276,0
47360,1011100100000000,5,3,5,133,0
45184,1011000010000000,4,4,4,0,0
45392,1011000101010000,6,2,6,287,0
48640,1011111000000000,6,2,6,323,0
35138,1000100101000010,5,3,5,255,0
61960,1111001000001000,6,2,6,285,0
