generation,index,bitmask,num_features,accuracy,time,rank,crowding_distance
0,33704,1000001110101000,6,2,6,2,0
0,40430,1001110111101110,11,3,11,2,0
0,41353,1010000110001001,6,2,6,2,0
0,33385,1000001001101001,6,2,6,2,0
0,49001,1011111101101001,11,3,11,2,0
0,8185,0001111111111001,11,3,11,2,0
0,15861,0011110111110101,11,3,11,2,0
0,17360,0100001111010000,6,2,6,2,0
0,13073,0011001100010001,6,2,6,2,0
0,35048,1000100011101000,6,2,6,2,0
0,8881,0010001010110001,6,2,6,2,0
0,64309,1111101100110101,11,3,11,2,0
0,48092,1011101111011100,11,3,11,2,0
0,38956,1001100000101100,6,2,6,2,0
0,42927,1010011110101111,11,3,11,2,0
0,43284,1010100100010100,6,2,6,2,0
0,53174,1100111110110110,11,3,11,2,0
0,56324,1101110000000100,6,2,6,2,0
0,6561,0001100110100001,6,2,6,2,0
0,51872,1100101010100000,6,2,6,2,0
0,3171,0000110001100011,6,2,6,2,0
0,45123,1011000001000011,6,2,6,2,0
0,6348,0001100011001100,6,2,6,2,0
0,55207,1101011110100111,11,3,11,2,0
0,42514,1010011000010010,6,2,6,2,0
0,10904,0010101010011000,6,2,6,2,0
0,52702,1100110111011110,11,3,11,2,0
0,33867,1000010001001011,6,2,6,2,0
0,20095,0100111001111111,11,3,11,2,0
0,5226,0001010001101010,6,2,6,2,0
0,1594,0000011000111010,6,2,6,2,0
0,3504,0000110110110000,6,2,6,2,0
0,8059,0001111101111011,11,3,11,2,0
0,15823,0011110111001111,11,3,11,2,0
0,3986,0000111110010010,7,1,7,3,inf
0,45054,1010111111111110,13,3,13,3,inf
0,44853,1010111100110101,10,2,10,3,1
0,63327,1111011101011111,13,3,13,3,1
0,8029,0001111101011101,10,2,10,3,1
0,6578,0001100110110010,7,1,7,3,1
0,5781,0001011010010101,7,1,7,3,0
0,53816,1101001000111000,7,1,7,3,0
0,9387,0010010010101011,7,1,7,3,0
0,46218,1011010010001010,7,1,7,3,0
0,38390,1001010111110110,10,2,10,3,0
0,64154,1111101010011010,10,2,10,3,0
0,38366,1001010111011110,10,2,10,3,0
0,45691,1011001001111011,10,2,10,3,0
0,52362,1100110010001010,7,1,7,3,0
0,18711,0100100100010111,7,1,7,3,0
0,35996,1000110010011100,7,1,7,3,0
0,25193,0110001001101001,7,1,7,3,0
0,50785,1100011001100001,7,1,7,3,0
0,24946,0110000101110010,7,1,7,3,0
0,11108,0010101101100100,7,1,7,3,0
0,49562,1100000110011010,7,1,7,3,0
0,9827,0010011001100011,7,1,7,3,0
0,16743,0100000101100111,7,1,7,3,0
0,6791,0001101010000111,7,1,7,3,0
0,8177,0001111111110001,10,2,10,3,0
0,2902,0000101101010110,7,1,7,3,0
0,5671,0001011000100111,7,1,7,3,0
0,39459,1001101000100011,7,1,7,3,0
0,57900,1110001000101100,7,1,7,3,0
0,35049,1000100011101001,7,1,7,3,0
0,2428,0000100101111100,7,1,7,3,0
0,12013,0010111011101101,10,2,10,3,0
0,51901,1100101010111101,10,2,10,3,0
0,1262,0000010011101110,7,1,7,3,0
0,19516,0100110000111100,7,1,7,3,0
0,40705,1001111100000001,7,1,7,3,0
0,10054,0010011101000110,7,1,7,3,0
0,36374,1000111000010110,7,1,7,3,0
0,24419,0101111101100011,10,2,10,3,0
0,18778,0100100101011010,7,1,7,3,0
0,49510,1100000101100110,7,1,7,3,0
0,2503,0000100111000111,7,1,7,3,0
0,32092,0111110101011100,10,2,10,3,0
0,53975,1101001011010111,10,2,10,3,0
0,10160,0010011110110000,7,1,7,3,0
0,58222,1110001101101110,10,2,10,3,0
0,16338,0011111111010010,10,2,10,3,0
0,14922,0011101001001010,7,1,7,3,0
0,28762,0111000001011010,7,1,7,3,0
0,42292,1010010100110100,7,1,7,3,0
0,37654,1001001100010110,7,1,7,3,0
0,11096,0010101101011000,7,1,7,3,0
0,57656,1110000100111000,7,1,7,3,0
0,39406,1001100111101110,10,2,10,3,0
0,47129,1011100000011001,7,1,7,3,0
0,45512,1011000111001000,7,1,7,3,0
0,31131,0111100110011011,10,2,10,3,0
0,34295,1000010111110111,10,2,10,3,0
0,24934,0110000101100110,7,1,7,3,0
0,21949,0101010110111101,10,2,10,3,0
0,20423,0100111111000111,10,2,10,3,0
0,62669,1111010011001101,10,2,10,3,0
0,59181,1110011100101101,10,2,10,3,0
0,47396,1011100100100100,7,1,7,3,0
0,46016,1011001111000000,7,1,7,3,0
0,52201,1100101111101001,10,2,10,3,0
0,11184,0010101110110000,7,1,7,3,0
0,21695,0101010010111111,10,2,10,3,0
0,1845,0000011100110101,7,1,7,3,0
0,20931,0101000111000011,7,1,7,3,0
0,3379,0000110100110011,7,1,7,3,0
0,12238,0010111111001110,10,2,10,3,0
0,17114,0100001011011010,7,1,7,3,0
0,18661,0100100011100101,7,1,7,3,0
0,65320,1111111100101000,10,2,10,3,0
0,25238,0110001010010110,7,1,7,3,0
0,44006,1010101111100110,10,2,10,3,0
0,20694,0101000011010110,7,1,7,3,0
0,30914,0111100011000010,7,1,7,3,0
0,42548,1010011000110100,7,1,7,3,0
0,55887,1101101001001111,10,2,10,3,0
0,38897,1001011111110001,10,2,10,3,0
0,24007,0101110111000111,10,2,10,3,0
0,30963,0111100011110011,10,2,10,3,0
0,65289,1111111100001001,10,2,10,3,0
0,11531,0010110100001011,7,1,7,3,0
0,59413,1110100000010101,7,1,7,3,0
0,59427,1110100000100011,7,1,7,3,0
0,23159,0101101001110111,10,2,10,3,0
0,28565,0110111110010101,10,2,10,3,0
0,22573,0101100000101101,7,1,7,3,0
