generation,num_fronts,pareto_size,best_accuracy,min_time,mean_accuracy,mean_time,hypervolume,mutation_rate,diversity
47,1,1,0.9696646389,0.05144251033,0.9526403903,0.1939322028,0.9334180193,0.05836139169,0.8703703704
48,1,1,0.9696646333,0.06868225115,0.9487409616,0.197117187,0.9334180193,0.05723905724,0.8148148148
49,1,1,0.9696646389,0.08872172865,0.954010459,0.1972798964,0.9334180193,0.05611672278,0.8703703704
50,1,1,0.9701219536,0.07468588371,0.9524314911,0.1898535594,0.9334180193,0.05499438833,0.8148148148
51,1,1,0.9693597592,0.08813527925,0.9511922196,0.1901138586,0.9334180193,0.05387205387,0.8518518519
52,1,1,0.9696646333,0.0863469597,0.9505212987,0.1903289446,0.9334180193,0.05274971942,0.8703703704
53,1,1,0.9696646389,0.05144251033,0.9500159927,0.1919810104,0.9334180193,0.05162738496,0.8395061728
54,1,1,0.9696646389,0.09490588191,0.9541450201,0.196206844,0.9334180193,0.05050505051,0.8641975309
55,1,1,0.9701219536,0.07468588371,0.9528652843,0.1926495077,0.9334180193,0.04938271605,0.8827160494
56,1,1,0.9701219536,0.0863469597,0.9527119044,0.1952628193,0.9334180193,0.04826038159,0.9012345679
57,1,1,0.9695122056,0.06868225115,0.9519713518,0.1932350929,0.9334180193,0.04713804714,0.9012345679
58,1,1,0.9696646333,0.05144251033,0.9531268775,0.1922773412,0.9334180193,0.04601571268,0.8148148148
59,1,1,0.9701219536,0.08404751134,0.952339276,0.1913307213,0.9334180193,0.04489337823,0.8333333333
60,1,1,0.9701219536,0.0863469597,0.9504742498,0.1917272007,0.9334180193,0.04377104377,0.8333333333
61,1,1,0.9696646389,0.08404751134,0.9528219997,0.1964099713,0.9334180193,0.04264870932,0.8456790123
62,1,1,0.9696646333,0.0863469597,0.9501477296,0.1896131178,0.9334180193,0.04152637486,0.8333333333
63,1,1,0.9701219536,0.0863469597,0.953515502,0.1968506303,0.9334180193,0.0404040404,0.8148148148
64,1,1,0.9701219536,0.05144251033,0.9512383269,0.1870573722,0.9334180193,0.03928170595,0.8518518519
65,1,1,0.9701219536,0.05144251033,0.9525415873,0.1951383516,0.9334180193,0.03815937149,0.8456790123
66,1,1,0.9701219536,0.06868225115,0.9509155713,0.1857852817,0.9334180193,0.03703703704,0.9012345679
67,1,1,0.9696646333,0.05144251033,0.9514933345,0.1822401414,0.9334180193,0.03591470258,0.8518518519
68,1,1,0.9690548796,0.06868225115,0.9508242962,0.1885195662,0.9334180193,0.03479236813,0.8086419753
69,1,1,0.9693597592,0.08404751134,0.9517238736,0.1936409728,0.9334180193,0.03367003367,0.8518518519
70,1,1,0.9696646333,0.08813527925,0.950839352,0.1849395549,0.9334180193,0.03254769921,0.8641975309
71,1,1,0.9695122056,0.0863469597,0.9520503943,0.1887288834,0.9334180193,0.03142536476,0.8209876543
72,1,1,0.9689024445,0.05144251033,0.9507480762,0.1890886935,0.9334180193,0.0303030303,0.8456790123
73,1,1,0.9695121981,0.08404751134,0.9511216452,0.184900035,0.9334180193,0.02918069585,0.8271604938
74,1,1,0.9685975611,0.06868225115,0.9504893061,0.1814294502,0.9334180193,0.02805836139,0.7839506173
75,1,1,0.9693597592,0.05144251033,0.9492312141,0.1763118258,0.9334180193,0.02693602694,0.8209876543
76,1,1,0.9696646333,0.08404751134,0.9522677612,0.1878304246,0.9334180193,0.02581369248,0.8271604938
77,1,1,0.9693597592,0.05144251033,0.949194516,0.1816111216,0.9334180193,0.02469135802,0.8271604938
78,1,1,0.9695121981,0.08404751134,0.9514246414,0.178689668,0.9334180193,0.02356902357,0.7777777778
79,1,1,0.9696646333,0.05144251033,0.9493403675,0.1813624643,0.9334180193,0.02244668911,0.8209876543
80,1,1,0.9695121981,0.08404751134,0.9486534507,0.1670917072,0.9334180193,0.02132435466,0.7962962963
81,1,1,0.9695122056,0.08404751134,0.9499501233,0.1827755499,0.9334180193,0.0202020202,0.8086419753
82,1,1,0.9695121981,0.05144251033,0.950111972,0.1717590248,0.9334180193,0.01907968575,0.7222222222
83,1,1,0.9692073204,0.05144251033,0.9526723828,0.1806758395,0.9334180193,0.01795735129,0.7777777778
84,1,1,0.9701219536,0.05144251033,0.9480549862,0.1687862278,0.9334180193,0.01683501684,0.7098765432
