index,bitmask,num_features,mean_accuracy,mean_time,penalized_fitness
189,010111101,6,0.9599085283,0.3050948284,0.8932418616
190,010111110,6,0.9559451174,0.3044974832,0.8892784507
191,010111111,7,0.963719504,0.2866767156,0.8859417262
192,011000000,2,0.9504573103,0.1211086311,0.9282350881
193,011000001,3,0.9471036512,0.1576919009,0.9137703179
194,011000010,3,0.9448170681,0.1295389787,0.9114837347
195,011000011,4,0.9493902363,0.1929078563,0.9049457918
196,011000100,3,0.9515243825,0.1577226631,0.9181910491
197,011000101,4,0.9516768213,0.1970114671,0.9072323769
198,011000110,4,0.9498475567,0.191795771,0.9054031122
199,011000111,5,0.9521341417,0.2270386657,0.8965785861
200,011001000,3,0.955487797,0.1316828153,0.9221544637
201,011001001,4,0.9567073155,0.1810487332,0.9122628711
202,011001010,4,0.9612804782,0.149196442,0.9168360337
203,011001011,5,0.959146332,0.1784309237,0.9035907764
204,011001100,4,0.9535060935,0.2112389025,0.909061649
205,011001101,5,0.9605182856,0.3885932574,0.9049627301
206,011001110,5,0.9589938931,0.2441969891,0.9034383376
207,011001111,6,0.9615853634,0.2859955677,0.8949186967
208,011010000,3,0.9487804789,0.2195109283,0.9154471456
209,011010001,4,0.9481707271,0.2154377233,0.9037262827
210,011010010,4,0.9449695069,0.2644167612,0.9005250625
211,011010011,5,0.9449695051,0.2340317885,0.8894139495
212,011010100,4,0.952439012,0.2385208402,0.9079945676
213,011010101,5,0.954268286,0.2557268739,0.8987127304
214,011010110,5,0.9489329215,0.2694390733,0.893377366
215,011010111,6,0.9525914565,0.2840391258,0.8859247898
216,011011000,4,0.9560975544,0.2577285054,0.91165311
217,011011001,5,0.9579268228,0.2819200605,0.9023712673
218,011011010,5,0.958841458,0.2987742741,0.9032859024
219,011011011,6,0.9600609709,0.3007806377,0.8933943042
220,011011100,5,0.9589938931,0.2710625273,0.9034383376
221,011011101,6,0.9602134116,0.300388671,0.8935467449
222,011011110,6,0.9573170654,0.3343018061,0.8906503988
223,011011111,7,0.959298769,0.3238683129,0.8815209912
224,011100000,3,0.9408536591,0.1201759358,0.9075203257
225,011100001,4,0.9452743847,0.1662776889,0.9008299402
226,011100010,4,0.9487804808,0.1625480801,0.9043360363
227,011100011,5,0.9506097492,0.1793539175,0.8950541936
228,011100100,4,0.9510670714,0.1718315468,0.906622627
229,011100101,5,0.9513719473,0.2044244306,0.8958163917
230,011100110,5,0.9544207174,0.2009842331,0.8988651619
231,011100111,6,0.9519817065,0.2285920731,0.8853150399
232,011101000,4,0.9621951152,0.2219230887,0.9177506707
233,011101001,5,0.9603658449,0.268123046,0.9048102893
234,011101010,5,0.9644817039,0.206266609,0.9089261484
235,011101011,6,0.9592987709,0.1924978569,0.8926321042
236,011101100,5,0.9617378004,0.2343629976,0.9061822448
237,011101101,6,0.9591463376,0.2640092028,0.8924796709
238,011101110,6,0.9606707245,0.2395493905,0.8940040578
239,011101111,7,0.9621951133,0.2638499523,0.8844173355
240,011110000,4,0.9474085271,0.2333530094,0.9029640827
241,011110001,5,0.9440548718,0.2607987896,0.8884993162
242,011110010,5,0.9455792625,0.2814117442,0.8900237069
243,011110011,6,0.9530487731,0.2716712286,0.8863821064
244,011110100,5,0.9503048733,0.2641298291,0.8947493177
245,011110101,6,0.9474085309,0.2499909932,0.8807418642
246,011110110,6,0.9506097473,0.2641389403,0.8839430807
247,011110111,7,0.9538109675,0.2866593562,0.8760331897
248,011111000,5,0.9550304767,0.2725362466,0.8994749211
249,011111001,6,0.958993895,0.3032088177,0.8923272283
250,011111010,6,0.9603658486,0.2909253226,0.8936991819
251,011111011,7,0.9612804838,0.3173386743,0.883502706
252,011111100,6,0.964176828,0.316163627,0.8975101614
253,011111101,7,0.9640243892,0.2906484376,0.8862466114
254,011111110,7,0.9605182894,0.3400172121,0.8827405116
255,011111111,8,0.9632621948,0.4130405989,0.8743733059
256,100000000,1,0.8653963432,0.05144251033,0.8542852321
257,100000001,2,0.8830792718,0.09909134312,0.8608570495
258,100000010,2,0.9272865914,0.1128509992,0.9050643692
259,100000011,3,0.9335365873,0.1357063192,0.9002032539
260,100000100,2,0.9440548718,0.2004308952,0.9218326496
261,100000101,3,0.9481707271,0.1661854191,0.9148373938
262,100000110,3,0.9503048733,0.1506545902,0.91697154
263,100000111,4,0.9487804864,0.1450051651,0.9043360419
264,100001000,2,0.9495426789,0.1157485445,0.9273204567
265,100001001,3,0.9512195047,0.1273183418,0.9178861714
266,100001010,3,0.9663109817,0.1359270001,0.9329776483
267,100001011,4,0.9620426763,0.1646921253,0.9175982318
268,100001100,3,0.9647865798,0.1379161642,0.9314532465
269,100001101,4,0.963262191,0.1545369336,0.9188177466
270,100001110,4,0.9641768225,0.171474142,0.919732378
271,100001111,5,0.9682926834,0.1738470579,0.9127371278
272,100010000,2,0.9314024411,0.09646097757,0.9091802189
273,100010001,3,0.936280489,0.1366260718,0.9029471556
274,100010010,3,0.9408536572,0.1183711295,0.9075203239
275,100010011,4,0.9417682886,0.1271214618,0.8973238442
276,100010100,3,0.9513719417,0.1391151226,0.9180386084
277,100010101,4,0.9528963342,0.1554693631,0.9084518898
278,100010110,4,0.9477134068,0.1614845553,0.9032689623
279,100010111,5,0.9499999974,0.1593395183,0.8944444418
280,100011000,3,0.9574695043,0.1384578615,0.924136171
281,100011001,4,0.9638719484,0.1484918948,0.919427504
282,100011010,4,0.9623475503,0.1541509838,0.9179031059
283,100011011,5,0.9660060965,0.1543926708,0.9104505409
284,100011100,4,0.9644817002,0.1660791668,0.9200372558
285,100011101,5,0.9692073204,0.1706519304,0.9136517648
286,100011110,5,0.9696646333,0.1719646058,0.9141090777
287,100011111,6,0.9652439002,0.1928226636,0.8985772335
288,100100000,2,0.9224085417,0.09756062739,0.9001863194
289,100100001,3,0.9368902445,0.1236085924,0.9035569112
290,100100010,3,0.9499999899,0.1336969913,0.9166666566
291,100100011,4,0.9493902382,0.206504555,0.9049457937
292,100100100,3,0.9576219451,0.1772560109,0.9242886117
293,100100101,4,0.9577743821,0.1677137092,0.9133299376
294,100100110,4,0.9550304823,0.1726385914,0.9105860378
295,100100111,5,0.9528963305,0.1877222597,0.897340775
296,100101000,3,0.9603658449,0.1424966599,0.9270325116
297,100101001,4,0.9582317006,0.1647070954,0.9137872561
298,100101010,4,0.9635670781,0.1536765499,0.9191226337
299,100101011,5,0.9684451278,0.1646855306,0.9128895723
300,100101100,4,0.9623475503,0.1672059349,0.9179031059
301,100101101,5,0.9657012131,0.1904032845,0.9101456576
302,100101110,5,0.9657012187,0.1828945968,0.9101456631
303,100101111,6,0.9673780538,0.2067371374,0.9007113871
304,100110000,3,0.9338414669,0.1354449289,0.9005081336
305,100110001,4,0.9381097574,0.1583164767,0.8936653129
306,100110010,4,0.9446646273,0.140418421,0.9002201829
307,100110011,5,0.9420731664,0.1512810998,0.8865176108
308,100110100,4,0.957926821,0.1752202315,0.9134823765
309,100110101,5,0.9530487731,0.1871497701,0.8974932176
310,100110110,5,0.952591449,0.1832640478,0.8970358935
311,100110111,6,0.9535060879,0.1921334574,0.8868394212
312,100111000,4,0.9676829297,0.1558179194,0.9232384853
313,100111001,5,0.963109754,0.167221989,0.9075541985
314,100111010,5,0.9621951208,0.1824102593,0.9066395652
315,100111011,6,0.9631097522,0.1866992847,0.8964430855
316,100111100,5,0.9669207297,0.1835955237,0.9113651742
317,100111101,6,0.9661585316,0.1998526342,0.8994918649
318,100111110,6,0.9657012206,0.1994900974,0.8990345539
319,100111111,7,0.9637195077,0.3759361217,0.8859417299
320,101000000,2,0.9503048677,0.1123269997,0.9280826455
321,101000001,3,0.953048775,0.1407439543,0.9197154416
322,101000010,3,0.9539634027,0.1114213858,0.9206300693
323,101000011,4,0.9560975581,0.1510076611,0.9116531137
324,101000100,3,0.9624999966,0.1362094213,0.9291666633
325,101000101,4,0.9565548692,0.1581497551,0.9121104247
326,101000110,4,0.9586890172,0.1529696728,0.9142445728
327,101000111,5,0.9611280449,0.1737721614,0.9055724893
328,101001000,3,0.9661585353,0.1314932012,0.932825202
329,101001001,4,0.9663109742,0.1626024148,0.9218665298
330,101001010,4,0.9649390206,0.1500430945,0.9204945761
331,101001011,5,0.9695122056,0.1774945036,0.91395665
332,101001100,4,0.9624999929,0.1707430179,0.9180555485
333,101001101,5,0.9678353649,0.1775467619,0.9122798093
334,101001110,5,0.9672256075,0.1807405879,0.9116700519
335,101001111,6,0.9673780575,0.2185122878,0.9007113909
336,101010000,3,0.9498475567,0.1365595176,0.9165142233
337,101010001,4,0.9527438916,0.1580627062,0.9082994472
338,101010010,4,0.9530487694,0.1827030429,0.9086043249
339,101010011,5,0.9528963324,0.1730788327,0.8973407768
340,101010100,4,0.961737806,0.1694561779,0.9172933615
341,101010101,5,0.9649390262,0.1703384123,0.9093834706
342,101010110,5,0.9528963305,0.1802943386,0.897340775
343,101010111,6,0.9589938968,0.1846750332,0.8923272302
344,101011000,4,0.964634141,0.194875374,0.9201896965
345,101011001,5,0.9628048781,0.1997483987,0.9072493226
346,101011010,5,0.9643292632,0.210029603,0.9087737076
347,101011011,6,0.9690548796,0.1985359336,0.902388213
348,101011100,5,0.9661585353,0.1913031316,0.9106029798
349,101011101,6,0.9696646389,0.3093579304,0.9029979722
350,101011110,6,0.9681402408,0.2603807449,0.9014735741
351,101011111,7,0.9638719484,0.2198956287,0.8860941706
352,101100000,3,0.9518292565,0.1353251534,0.9184959232
353,101100001,4,0.9532012139,0.1389175798,0.9087567694
354,101100010,4,0.9609756079,0.1522667618,0.9165311634
355,101100011,5,0.9577743858,0.1480007793,0.9022188303
356,101100100,4,0.9591463339,0.1657813322,0.9147018894
357,101100101,5,0.9574694987,0.1785467933,0.9019139432
358,101100110,5,0.9629573151,0.1768365032,0.9074017596
359,101100111,6,0.9612804819,0.1891228305,0.8946138152
360,101101000,4,0.9634146318,0.168340771,0.9189701873
361,101101001,5,0.9644817058,0.176816938,0.9089261502
362,101101010,5,0.9624999966,0.1689127102,0.9069444411
363,101101011,6,0.9637195095,0.1817409033,0.8970528429
364,101101100,5,0.9696646333,0.1734690042,0.9141090777
365,101101101,6,0.9644817039,0.2133307862,0.8978150373
366,101101110,6,0.9675304852,0.2001497867,0.9008638186
367,101101111,7,0.9689024445,0.2136532324,0.8911246667
368,101110000,4,0.9560975526,0.1694042669,0.9116531081
369,101110001,5,0.9570121858,0.1660167179,0.9014566303
370,101110010,5,0.9585365802,0.1784977219,0.9029810246
371,101110011,6,0.9557926711,0.1782466671,0.8891260044
372,101110100,5,0.9644817002,0.1726493784,0.9089261447
373,101110101,6,0.9577743821,0.181031581,0.8911077154
374,101110110,6,0.9637195077,0.1878173118,0.897052841
375,101110111,7,0.9571646266,0.217339966,0.8793868488
376,101111000,5,0.9667682927,0.1849404364,0.9112127372
377,101111001,6,0.9640243854,0.320313164,0.8973577188
378,101111010,6,0.964786578,0.2308151182,0.8981199113
379,101111011,7,0.9603658468,0.2280426561,0.882588069
380,101111100,6,0.9635670688,0.2217264464,0.8969004021
381,101111101,7,0.9650914595,0.2315300149,0.8873136817
382,101111110,7,0.9690548796,0.2183860508,0.8912771018
383,101111111,8,0.9637195133,0.2397632855,0.8748306244
384,110000000,2,0.942378046,0.1023272595,0.9201558238
385,110000001,3,0.9457317069,0.1523044817,0.9123983736
386,110000010,3,0.9515243825,0.1274834615,0.9181910491
387,110000011,4,0.9507621918,0.175960077,0.9063177473
388,110000100,3,0.9559451118,0.1492509923,0.9226117785
389,110000101,4,0.9562499914,0.1904697402,0.911805547
390,110000110,4,0.9560975488,0.160214691,0.9116531044
391,110000111,5,0.9551829174,0.1890920834,0.8996273619
392,110001000,3,0.9653963372,0.1357308119,0.9320630039
393,110001001,4,0.9617377985,0.1536827425,0.9172933541
394,110001010,4,0.9682926834,0.1485241046,0.9238482389
395,110001011,5,0.9670731667,0.1769618806,0.9115176112
396,110001100,4,0.9617377967,0.18006679,0.9172933522
397,110001101,5,0.9626524374,0.1984722707,0.9070968818
398,110001110,5,0.9652439002,0.184927925,0.9096883446
399,110001111,6,0.9626524355,0.2035451112,0.8959857689
400,110010000,3,0.9547256026,0.1810064591,0.9213922693
401,110010001,4,0.9516768232,0.1931645344,0.9072323788
402,110010010,4,0.9487804808,0.1966901873,0.9043360363
403,110010011,5,0.9471036531,0.1901693111,0.8915480975
404,110010100,4,0.9553353563,0.1947822548,0.9108909119
405,110010101,5,0.953201212,0.2160813212,0.8976456564
406,110010110,5,0.9480182827,0.218691871,0.8924627271
407,110010111,6,0.9516768251,0.3759041177,0.8850101584
408,110011000,4,0.958231695,0.2197342259,0.9137872506
409,110011001,5,0.9621951114,0.2163874777,0.9066395559
410,110011010,5,0.9644817039,0.2193003995,0.9089261484
411,110011011,6,0.9638719447,0.23684128,0.897205278
412,110011100,5,0.9612804819,0.2286357516,0.9057249263
413,110011101,6,0.9644817039,0.2295870977,0.8978150373
414,110011110,6,0.9637195077,0.2462959136,0.897052841
415,110011111,7,0.9681402519,0.2540232334,0.8903624742
416,110100000,3,0.9510670714,0.1087195657,0.9177337381
417,110100001,4,0.9451219458,0.1674812513,0.9006775014
418,110100010,4,0.9541158434,0.1336211525,0.909671399
419,110100011,5,0.9568597469,0.1682509559,0.9013041914
420,110100100,4,0.9579268228,0.1566663263,0.9134823784
421,110100101,5,0.9567073006,0.1923621674,0.9011517451
422,110100110,5,0.9547256045,0.1711755372,0.8991700489
423,110100111,6,0.9544207193,0.1782295462,0.8877540526
424,110101000,4,0.9621951189,0.151591171,0.9177506744
425,110101001,5,0.9621951208,0.1687642131,0.9066395652
426,110101010,5,0.965548778,0.1652380908,0.9099932224
427,110101011,6,0.9629573077,0.1781795989,0.896290641
428,110101100,5,0.9626524337,0.1925693848,0.9070968781
429,110101101,6,0.9609756004,0.1956794159,0.8943089337
430,110101110,6,0.9653963409,0.2012857567,0.8987296743
431,110101111,7,0.9658536613,0.2059036302,0.8880758835
432,110110000,4,0.9525914509,0.190835604,0.9081470064
433,110110001,5,0.953048775,0.1948711216,0.8974932194
434,110110010,5,0.9512195047,0.2008119989,0.8956639491
435,110110011,6,0.9568597432,0.2100424496,0.8901930766
436,110110100,5,0.9548780341,0.3190835472,0.8993224785
437,110110101,6,0.9524390157,0.2554515093,0.8857723491
438,110110110,6,0.9568597469,0.2188521465,0.8901930803
439,110110111,7,0.9557926748,0.2348899278,0.878014897
440,110111000,5,0.9647865817,0.2230814546,0.9092310261
441,110111001,6,0.9644817077,0.2243005,0.897815041
442,110111010,6,0.9629573133,0.2662793156,0.8962906466
443,110111011,7,0.9624999985,0.2361019221,0.8847222207
444,110111100,6,0.964786578,0.2217209716,0.8981199113
445,110111101,7,0.9670731686,0.2392563811,0.8892953908
446,110111110,7,0.9637195077,0.2505255626,0.8859417299
447,110111111,8,0.9663109742,0.2420711997,0.8774220853
448,111000000,3,0.9498475511,0.1094583822,0.9165142177
449,111000001,4,0.9550304785,0.2016363414,0.9105860341
450,111000010,4,0.9554877952,0.1262044164,0.9110433507
451,111000011,5,0.9550304729,0.1685197698,0.8994749174
452,111000100,4,0.9608231634,0.1636474896,0.9163787189
453,111000101,5,0.9580792617,0.16819228,0.9025237061
454,111000110,5,0.960975606,0.1631978797,0.9054200504
455,111000111,6,0.9588414561,0.178122621,0.8921747894
456,111001000,4,0.9663109723,0.1493365318,0.9218665279
457,111001001,5,0.960213406,0.1580275986,0.9046578505
458,111001010,5,0.9644817039,0.1614640043,0.9089261484
459,111001011,6,0.9693597592,0.1673336257,0.9026930926
460,111001100,5,0.9623475634,0.1988814175,0.9067920078
461,111001101,6,0.9624999948,0.2131315088,0.8958333281
462,111001110,6,0.9695121981,0.2274610037,0.9028455315
463,111001111,7,0.9701219536,0.2215583678,0.8923441759
464,111010000,4,0.9522865787,0.1902281402,0.9078421343
465,111010001,5,0.9565548692,0.3861234859,0.9009993136
466,111010010,5,0.9501524325,0.2081504837,0.894596877
467,111010011,6,0.9539634027,0.2327699261,0.887296736
468,111010100,5,0.96204268,0.1961445869,0.9064871245
469,111010101,6,0.9583841395,0.2142438563,0.8917174728
470,111010110,6,0.9586890098,0.2075651209,0.8920223431
471,111010111,7,0.9618902374,0.2460674956,0.8841124596
472,111011000,5,0.9638719503,0.2441837927,0.9083163947
473,111011001,6,0.9602134135,0.2257233416,0.8935467468
474,111011010,6,0.9687500075,0.2528586062,0.9020833408
475,111011011,7,0.964176828,0.2418077742,0.8863990503
476,111011100,6,0.9672256112,0.2396430206,0.9005589445
477,111011101,7,0.9663109761,0.245831884,0.8885331983
478,111011110,7,0.9678353649,0.271671345,0.8900575871
479,111011111,8,0.9653963409,0.297615774,0.876507452
480,111100000,4,0.9522865769,0.1520633074,0.9078421324
481,111100001,5,0.9490853604,0.1667485817,0.8935298048
482,111100010,5,0.9591463339,0.139335844,0.9035907783
483,111100011,6,0.9574695099,0.1675422555,0.8908028432
484,111100100,5,0.9605182838,0.1770865889,0.9049627282
485,111100101,6,0.9573170673,0.1772199203,0.8906504006
